Starttime,Endtime,BAZ,v_app
2023-04-05 07:42:22.097148,2023-04-05 07:42:22.797216,[-162.01453023],5.87065548292
2023-04-05 08:22:46.232828,2023-04-05 08:22:46.932896,[-125.86679725],2.56454915018
